Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_std,BB_upper,BB_lower,Volume_MA5,Volume_MA20,Volatility,Target
2022-01-03 00:00:00-05:00,174.5429172102293,179.49957387951153,174.4251401333062,178.64564514160156,104487900,0.0,0.0,,,,,,0.0,0.0,,,,,,,,176.3783721923828
2022-01-04 00:00:00-05:00,179.25422104484065,179.55848852228598,175.80909127659353,176.3783721923828,99310400,0.0,0.0,-0.012691453785070528,,,,,-0.18086507857015022,-0.036173015714030046,,,,,,,,171.6866912841797
2022-01-05 00:00:00-05:00,176.2900014242933,176.83964771384632,171.4118681394032,171.6866912841797,94537600,0.0,0.0,-0.02660009189270507,,,,,-0.6947724908841053,-0.1678929107480451,,,,,,,,168.8206787109375
2022-01-06 00:00:00-05:00,169.50773661732023,172.05968310015797,168.46733250526367,168.8206787109375,96904000,0.0,0.0,-0.016693271632210016,,,,,-1.3181166517775011,-0.3979376589539363,,,,,,,,168.98751831054688
2022-01-07 00:00:00-05:00,169.69421065393524,170.92110500332652,167.86859126297153,168.98751831054688,86709100,0.0,0.0,0.0009882651869623782,172.90378112792968,,,,-1.7781612923743921,-0.6739823856380275,,,,,96389800.0,,,169.00717163085938
2022-01-10 00:00:00-05:00,165.95465755063788,169.31143906710747,165.06147477041716,169.00717163085938,106765600,0.0,0.0,0.00011630042567034593,170.97608642578126,,,,-2.1167633950122706,-0.9625385875128762,,,,,96845340.0,,,171.84375
2022-01-11 00:00:00-05:00,169.13477238363146,171.9418925722171,167.66249900972133,171.84375,76138300,0.0,0.0,0.01678377516035945,170.06916198730468,,,,-2.1316475269479724,-1.1963603753998955,,,,,92210920.0,,,172.2854461669922
2022-01-12 00:00:00-05:00,172.8645368239584,173.90494104881037,171.58857842094562,172.2854461669922,74805200,0.0,0.0,0.0025703359417621474,170.18891296386718,,,,-2.0837815824999666,-1.3738446168199099,,,,,88264440.0,,,169.00717163085938
2022-01-13 00:00:00-05:00,172.53080900021536,173.35527850038557,168.61455640929785,169.00717163085938,84505800,0.0,0.0,-0.019028157102459198,170.22621154785156,,,,-2.2840477533219428,-1.5558852441203166,,,,,85784800.0,,,169.8709259033203
2022-01-14 00:00:00-05:00,168.17289299389805,170.56779364905069,167.92751407393143,169.8709259033203,80440800,0.0,0.0,0.0051107551479976365,170.40289306640625,,,,-2.346018939458304,-1.7139119831879142,,,,,84531140.0,,,166.66134643554688
2022-01-18 00:00:00-05:00,168.33972966979056,169.35068950665382,166.27855596311068,166.66134643554688,90956700,0.0,0.0,-0.01889422483986536,169.93372802734376,,,,-2.6238714338381044,-1.8959038733179523,,,,,81369360.0,,,163.15733337402344
2022-01-19 00:00:00-05:00,166.85765136543813,167.91769000661554,162.87270044087128,163.15733337402344,94815000,0.0,0.0,-0.021024749508300355,168.19644470214843,,,,-3.091182875267606,-2.134959673707883,,,,,85104700.0,,,161.46913146972656
2022-01-20 00:00:00-05:00,163.8934762825247,166.54356549753263,161.14522951347425,161.46913146972656,91420500,0.0,0.0,-0.010347079529835268,166.0331817626953,,,,-3.556754294675983,-2.419318597901503,,,,,88427760.0,,,159.407958984375
2022-01-21 00:00:00-05:00,161.38080003283116,163.25549850314817,159.29999166470387,159.407958984375,122848900,0.0,0.0,-0.01276511780666889,164.11333923339845,,,15.517346066345056,-4.045409430711459,-2.7445367644634944,,,,,96096380.0,,,158.63255310058594
2022-01-24 00:00:00-05:00,157.06213706108227,159.2999915243486,151.8404666623007,158.63255310058594,162294600,0.0,0.0,-0.004864285878379948,161.86566467285155,,,15.097667497283012,-4.444013104309761,-3.0844320324327477,,,,,112467140.0,,,156.82656860351562
2022-01-25 00:00:00-05:00,156.04135309194953,159.75148103294072,154.11759081418975,156.82656860351562,115798400,0.0,0.0,-0.011384702961473314,159.89870910644532,,,15.344553860966798,-4.84973254516521,-3.4374921349792404,,,,,117435480.0,,,156.7382354736328
2022-01-26 00:00:00-05:00,160.47780767829823,161.3513560017588,154.90280601323298,156.7382354736328,108275300,0.0,0.0,-0.0005632536034512192,158.6148895263672,,,18.336920899024577,-5.119382812091999,-3.7738702704017926,,,,,120127540.0,,,156.27694702148438
2022-01-27 00:00:00-05:00,159.44723886498556,160.81154522920218,155.35431977233566,156.27694702148438,121954600,0.0,0.0,-0.002943049924956198,157.57645263671876,,,20.416808812924003,-5.30910466057253,-4.08091714843594,,,,,126234360.0,,,167.18154907226562
2022-01-28 00:00:00-05:00,162.64695192499494,167.2011835771804,159.79073801782928,167.18154907226562,179935700,0.0,0.0,0.06977741924586045,159.13117065429688,,,47.172742751982206,-4.527361732561076,-4.170206065260968,,,,,137651720.0,,,171.54930114746094
2022-01-31 00:00:00-05:00,167.0147037152971,171.76523578487254,166.37670956776643,171.54930114746094,115541600,0.0,0.0,0.026125802155998246,161.7145202636719,166.72171478271486,,53.502845361449005,-3.514866546695373,-4.039138161547849,166.72171478271486,6.635604927319904,179.99292463735466,153.45050492807505,128301120.0,105422300.0,0.0398004839139758,171.38243103027344
2022-02-01 00:00:00-05:00,170.79351570873365,171.60817541361024,169.12494226668923,171.38243103027344,86213900,0.0,0.0,-0.0009727239695606071,164.62569274902344,166.35855407714843,,49.313859124268824,-2.694857204762002,-3.77028197019068,166.35855407714843,6.128012681437415,178.61457944002325,154.1025287142736,122384220.0,104508600.0,0.03683617422279086,172.58969116210938
2022-02-02 00:00:00-05:00,171.51984280427115,172.62896017118422,170.12609251689003,172.58969116210938,84914300,0.0,0.0,0.0070442467444209456,167.79598388671874,166.16912002563475,,50.44244174409786,-1.925383468174772,-3.401302269787499,166.16912002563475,5.854421892287629,177.87796381021002,154.4602762410595,117712020.0,103788795.0,0.035231707861150575,169.70404052734375
